Gene.symbol	Gene.ID	adj.P.Val	logFC
ARHGAP11A	9824	2.02431254996675e-14	-3.15486511828005
TNFRSF21	27242	2.10179878627329e-14	-2.26066604138889
MCM4	4173	2.10179878627329e-14	-2.23452321069841
FOXM1	2305	2.10179878627329e-14	-1.94159098212699
KCNK5	8645	2.31626163416275e-14	-2.53546041605782
PCNA	5111	2.38035340508473e-14	-2.09183679341837
TTK	7272	2.90092900669043e-14	-2.23504714605669
CLSPN	63967	3.01656165349231e-14	-1.90987652663946
CLSPN///CLSPN	63967///63967	3.46775162650278e-14	-2.6115634559093
IGF2BP2	10644	4.20086831589619e-14	-3.27423061079705
RAD54L	8438	4.25385218768621e-14	-1.36294764787755
KIF11	3832	4.28943099338673e-14	-2.59310933700227
TK1	7083	4.28943099338673e-14	-1.78384948485034
CENPF	1063	4.28943099338673e-14	-2.82096547029252
		4.43493718144446e-14	-2.38054530960885
NUF2	83540	4.77633001474966e-14	-2.43885440219048
GUCY1A3	2982	4.77633001474966e-14	-4.32681910592404
GOLGA8R///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8EP	101059918///728047///653720///653125///653075///653073///653061///643699///390535	4.82121778703019e-14	-2.21741409829025
KIF2C	11004	5.49650539021371e-14	-1.97681992265306
CTSG	1511	6.01727974915338e-14	-3.30185340424943
DEPTOR	64798	6.67471887271093e-14	-3.5786581114932
SCCPDH	51097	7.3578969512513e-14	-2.83305394852834
KIF20A	10112	7.61889665505341e-14	-2.37317675069275
GMNN	51053	1.00377502843193e-13	-1.8464840326678
ELANE	1991	1.00908853035321e-13	-2.46212724019615
CHEK1	1111	1.017231585857e-13	-2.94682724253968
MCM2	4171	1.1331446122538e-13	-1.9862173143288
E2F8	79733	1.26207601314172e-13	-1.90107723190249
SLC22A16	85413	1.26207601314172e-13	-2.55296814786621
LOC81691	81691	1.59290248812126e-13	-2.34238707287642
CDKN2C	1031	1.80784040280167e-13	-1.44171884853061
AZU1	566	1.96876862587312e-13	-2.40197318979705
KIAA0101	9768	1.97653532520974e-13	-1.88401066591383
CCNE2	9134	2.25919128778552e-13	-2.36987354354762
HLA-F///HLA-B	3134///3106	3.04684848391634e-13	2.70225779257937
KIF4A	24137	3.04684848391634e-13	-2.26831879373243
CCNB2	9133	3.10727444878545e-13	-2.76990424326417
CDK1	983	3.48334973882453e-13	-2.22380094475624
CCNA1	8900	3.48334973882453e-13	-2.31671020398073
CCNA2	890	3.95749191747629e-13	-2.29715325647279
MYB///MYB	4602///4602	3.98123742160124e-13	-3.59896533199547
BAHCC1	57597	4.11099294994226e-13	-1.73834147832313
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	4.13972896909114e-13	-2.33229368478232
CCDC169-SOHLH2///CCDC169	100526761///728591	4.13972896909114e-13	-2.15551673603742
DLGAP5	9787	4.13972896909114e-13	-2.7354726752449
UHRF1	29128	4.74550759702433e-13	-1.98998455168708
ERG	2078	5.58321156278423e-13	-3.71863879951814
MKI67	4288	5.90248240096241e-13	-2.77092991224377
P2RY1	5028	6.72719865524628e-13	-1.45152471845125
RAB11FIP4	84440	8.05104618548175e-13	1.99885479313605
ANKRD44	91526	8.82523484214174e-13	1.99129396085374
RFX8	731220	9.26109195803351e-13	-1.79313764221089
SPAG5	10615	9.3539310448149e-13	-2.00879504296032
B4GALT6	9331	9.75922308769482e-13	-2.86674268376191
NFIX	4784	9.75922308769482e-13	-1.77364145945919
SMC4	10051	1.10014712215244e-12	-1.59853086266894
EPDR1	54749	1.21528035363937e-12	-2.39016296317574
GRK5	2869	1.21528035363937e-12	2.29230350931859
COL24A1	255631	1.25719584098038e-12	-2.23241663100453
ZWINT	11130	1.31006101050752e-12	-1.65462662741723
MINK1	50488	1.38392421550635e-12	1.40734130251133
FAM46A	55603	1.38392421550635e-12	-2.07278087629479
PRSS57	400668	1.60379507404579e-12	-2.36865737568594
FADS2	9415	1.61443225949924e-12	-3.0180668554127
RAD51	5888	1.70471614394307e-12	-1.84846904998753
CENPU	79682	1.7802799751564e-12	-2.13654467118594
CDCA5	113130	1.8819358761805e-12	-1.34154195079025
SCML2	10389	2.10371832289648e-12	-2.73607206330612
TFPI	7035	2.19956748490336e-12	-3.73332428403402
HMMR	3161	2.52955584761975e-12	-1.78650653243197
TMEM2	23670	2.70935676156117e-12	1.90829679764626
KIF15	56992	2.74153106304934e-12	-1.96828328974603
		2.7635219113529e-12	-3.72489085148073
TICRR	90381	3.26278655935929e-12	-1.84931753459524
WT1	7490	3.6363105043247e-12	-1.93883133012358
CDCA4	55038	3.67479088263819e-12	-1.39988151452268
SLC44A2	57153	3.76432458937803e-12	2.631501501839
TBC1D25	4943	3.9382924124099e-12	1.14441733064512
STAR	6770	4.23634728575419e-12	-1.67213218717574
C11orf74	119710	4.93271534066491e-12	-1.78000408065533
PLK4	10733	5.33130307070639e-12	-2.4396215554263
ZBP1	81030	6.57681177644852e-12	2.24400833257823
CDC6	990	6.66543977391976e-12	-2.43377175435601
HLA-F///HLA-B	3134///3106	6.66543977391976e-12	3.5597800243424
SLC7A5	8140	7.77201275007268e-12	-1.7937844524025
HJURP	55355	8.02580994227668e-12	-1.78662754098526
TAP1	6890	8.02580994227668e-12	1.80516211883787
TRIP13	9319	8.56974295761763e-12	-1.95396211606916
TFRC	7037	8.56974295761763e-12	-2.24290492955896
ZNF211	10520	8.86974926597291e-12	1.29527315306803
RCC1///SNHG3///RCC1	1104///8420///1104	9.23926845831516e-12	-1.50094661580272
ZBTB38	253461	9.24908948944124e-12	1.98596424552608
ESPL1	9700	9.30586064639876e-12	-1.41250390977325
PIWIL4	143689	9.3482397723743e-12	-2.49464297530159
DNAJB9	4189	9.3482397723743e-12	1.56944859845124
BRCA2	675	1.06048122643639e-11	-1.97647687273923
CHAF1A	10036	1.10341530276087e-11	-1.34234274213152
CCZ1B///CCZ1	221960///51622	1.12067670300178e-11	1.63176257154535
GTSE1	51512	1.12067670300178e-11	-1.40884696901021
GRIK5	2901	1.19821208275239e-11	-1.75391534944105
CDKN1B	1027	1.25159661398245e-11	1.35645694117687
EMP1	2012	1.39661988033047e-11	-3.85759896180386
HBD	3045	1.45103573008763e-11	-3.08403686212018
ALDOC	230	1.45103573008763e-11	1.62344639076757
LIMD2	80774	1.45103573008763e-11	1.10783981629025
HIST1H1B	3009	1.51415867062401e-11	-3.65320296992631
BTN3A1	11119	1.87319477889717e-11	2.01173447436735
CDCA2	157313	1.93207287934375e-11	-2.01385233865873
WT1-AS	51352	1.94490665036098e-11	-1.58125443329479
KIF4B///KIF4A	285643///24137	1.94539737283393e-11	-1.29674081636168
GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8N///GOLGA8IP///ULK4P1///CHRFAM7A	728047///653720///653125///653075///653073///643699///283796///89838///89832	2.02611685823136e-11	-1.69962692539569
VAT1	10493	2.15084431858512e-11	-1.11949826395125
MAMDC2	256691	2.19372919865057e-11	-4.03101040741497
FAM234A	83986	2.31716952698144e-11	-0.815924609741497
TIE1	7075	2.43548278573887e-11	-1.68926053299887
CENPW	387103	2.84566110845486e-11	-1.67478788504762
AUNIP	79000	2.89933879002201e-11	-1.29248839194785
B3GALNT1	8706	2.89933879002201e-11	-1.96752023587529
DSCC1	79075	2.94605579420009e-11	-1.54633170797619
CEP85L	387119	2.96033894351244e-11	2.09348870784807
NCAPH	23397	3.04019746305355e-11	-1.93840420835828
XRCC2	7516	3.49389507715755e-11	-2.23132431801814
HDGF	3068	3.49389507715755e-11	-1.04214101432313
ERLIN1	10613	3.49683604607335e-11	-2.14276105773923
TEC	7006	4.04365697277811e-11	-2.43482497904989
MNS1	55329	4.17917961656475e-11	-1.94453583457256
HMGB3	3149	4.20972038807013e-11	-1.77049704193084
CKAP2L	150468	4.67352464242676e-11	-1.89476618703968
TTC9	23508	4.69415746438489e-11	1.47383076726984
SLC27A2	11001	4.89343994423741e-11	-2.87837900868934
DNAJC12	56521	5.2454939539107e-11	-1.90480798774603
TRIM62	55223	5.4460443164303e-11	1.01089374266326
MAFG	4097	5.54797432568188e-11	-1.83407314553288
IFT122	55764	6.00998758051032e-11	-1.20053715837982
TAGAP	117289	6.03629466114518e-11	1.93331928934807
CA1	759	6.21648849586113e-11	-4.0873061195635
DDX58	23586	6.27764070385564e-11	2.31890457755782
CCDC150	284992	6.77731261173709e-11	-0.763345556757371
SMIM3	85027	7.13115640644049e-11	-2.36945847277324
KIAA0355	9710	7.17963673452696e-11	1.64764240238775
MTHFD1L	25902	7.44560986239294e-11	-1.19899460010091
CCNB1	891	7.44560986239294e-11	-2.88296874581746
SPC24	147841	7.46130231999255e-11	-1.57152470454649
HACD1	9200	7.46130231999255e-11	-2.43456299142517
ATP8B4	79895	7.46710473650542e-11	-4.94131554926644
TINF2	26277	7.56308859568003e-11	0.979884696379816
GVINP1	387751	8.11748219117264e-11	2.67165897819841
DEPDC1	55635	8.22800661621363e-11	-2.08897944087528
METTL25	84190	8.60804348406368e-11	1.01310756669614
GINS1	9837	8.63085731296858e-11	-2.30885823746826
PSMD1	5707	9.55870274703472e-11	-1.2597136919093
RAD51AP1	10635	1.09893544348738e-10	-2.23439844010431
ZC3H6	376940	1.13962328003025e-10	1.3089759475907
SYNRG	11276	1.13962328003025e-10	1.52326725604875
SNORD52	26797	1.1761624055554e-10	-1.88990420896145
BRIP1	83990	1.25466938252282e-10	-2.23355514603628
		1.25780189927134e-10	2.82076337907936
HCP5	10866	1.26165210017294e-10	2.1242284256712
BTBD3	22903	1.31576934747995e-10	-2.62499377581519
E2F7	144455	1.40632580943237e-10	-1.52067328431633
IQCJ-SCHIP1///SCHIP1	100505385///29970	1.43602793563044e-10	-2.98840263598186
NUAK2	81788	1.57128460961087e-10	2.79883463635941
FAM65B	9750	1.58619737215082e-10	2.53671656473809
SOX4	6659	1.58619737215082e-10	-2.19879889168594
PARP12	64761	1.61158214890252e-10	1.65983849209864
CYTL1	54360	1.7279305651417e-10	-2.56250573951588
HDLBP	3069	1.7319194657285e-10	-0.776226100970524
CLU	1191	1.84679066481635e-10	-2.87071390229365
KCTD7	154881	1.85598992253283e-10	1.80992584584354
KIFC1	3833	1.85598992253283e-10	-1.77754236941043
MSRB3	253827	1.88352520821283e-10	-3.33957525768254
HIST1H4J///HIST1H4K///HIST1H4J///HIST1H4K	8363///8362///8363///8362	1.96540935475558e-10	-1.79008121320975
CPT1A	1374	2.04038802263455e-10	-1.85151074868481
AKR1C3	8644	2.04038802263455e-10	-3.35897752504989
CDCA7	83879	2.04708781751796e-10	-2.44337689993424
CAPRIN1	4076	2.11220460084001e-10	-0.948071743549889
TEX30	93081	2.11220460084001e-10	-1.66368339228231
RNF220	55182	2.11220460084001e-10	-1.72823520442177
LPAR4	2846	2.1644599107491e-10	-1.88703198399887
AKTIP	64400	2.26582800099067e-10	2.53454908048866
MAML2///MAML2	84441///84441	2.27854633107576e-10	3.03228845008163
CRISPLD1	83690	2.35125723201555e-10	-2.07744433405329
IGSF10	285313	2.35707227277068e-10	-3.10337514562472
ACTG1	71	2.35707227277068e-10	-0.636103377653065
ENTPD4	9583	2.35707227277068e-10	0.917005286879819
IL16	3603	2.38707352812054e-10	1.30454265421088
RPS6KB2	6199	2.41432668446813e-10	0.775976395074826
FAH	2184	2.41432668446813e-10	-2.08797664166667
NPR3	4883	2.46296695037682e-10	-3.84670478722336
NOCT	25819	2.5107880894885e-10	-1.66469967612132
C1orf186	440712	2.57914346730048e-10	-2.44328734627891
SHCBP1	79801	2.59013453352325e-10	-2.52342777230726
STMN1	3925	2.78354048014466e-10	-2.78817411842404
GLTSCR1L	23506	2.78354048014466e-10	1.32884184800567
NUP93	9688	2.78354048014466e-10	-0.879312534292516
TNFRSF14	8764	2.78354048014466e-10	1.24890364181746
MLC1	23209	2.95846273494688e-10	-2.57996738389683
ERBIN	55914	3.06284342030875e-10	1.30106296708163
AQP1///AQP1	358///358	3.08339672044341e-10	-1.37456685901134
NME4	4833	3.1315893870525e-10	-1.00757558822336
FAM72A///FAM72D///FAM72B	729533///728833///653820	3.302699716853e-10	-2.37433039602154
S1PR4	8698	3.63755921883548e-10	1.84903891764966
GPR155	151556	3.9166698690417e-10	2.97689855293424
BMP1	649	4.14982490996469e-10	-1.32091746861564
FBXO33	254170	4.26227426990214e-10	1.32344650877211
TGFBR2	7048	4.45802429674738e-10	1.82104541156123
CEP85	64793	4.57027171720976e-10	-1.29500759308163
SLC35E2B	728661	4.93109607167512e-10	0.80460837188095
FASN	2194	4.93109607167512e-10	-0.948485873851478
STEAP3	55240	5.41210135835201e-10	-1.45632606607256
RFC3	5983	5.47523066422477e-10	-1.62063597049773
C7orf26	79034	5.48201290204505e-10	0.768018273727891
KIAA0368	23392	5.50230299351373e-10	-0.904872194850341
IL18	3606	5.89754573758779e-10	-3.31645985812472
HIST2H2AA4///HIST2H2AB///HIST2H2AC///HIST2H2AA3	723790///317772///8338///8337	5.95596160495582e-10	-1.74974611286282
HIST1H3H///HIST1H2AI	8357///8329	6.01794122796129e-10	-2.26119410765533
HMGXB4	10042	6.19837608045858e-10	-0.906493618472788
ZNF660	285349	6.77109100760662e-10	-2.01668654406236
LOC100130744	100130744	6.83989096331003e-10	1.15259168088209
HNRNPAB	3182	6.94949465097026e-10	-1.50203541267687
BUB1	699	6.94949465097026e-10	-2.24992873509977
PTGR1	22949	6.94949465097026e-10	-1.68143568281406
SLC17A9	63910	7.14924717770558e-10	-1.70286403080952
UCK2	7371	7.14924717770558e-10	-2.03679623972789
RRM2	6241	7.14924717770558e-10	-2.11699722487642
CENPJ	55835	7.42990611837724e-10	-1.79805713187075
GGH	8836	7.48697967449663e-10	-2.19094786771996
DNMT3B	1789	7.48697967449663e-10	-1.84456217686395
NPR3	4883	7.48697967449663e-10	-3.95660212524944
ATAD2	29028	7.91768942137967e-10	-1.57632037393197
WDHD1	11169	7.92372307709755e-10	-2.22210068474603
THAP5	168451	8.26795836258186e-10	1.79293227160771
MLEC	9761	8.31339512079831e-10	-1.28869866658164
PARPBP	55010	8.84862271855263e-10	-1.58231573730386
MSH5-SAPCD1///MSH5	100532732///4439	9.39772791377312e-10	-1.64889663204195
ZBTB8B///ZBTB8A	728116///653121	9.84455467211235e-10	-1.59690331776644
PPP2R5C	5527	1.09610902849739e-09	1.78094679972562
CDK6	1021	1.1009922101567e-09	-2.95157788754195
HSPA5	3309	1.12039364378874e-09	-1.11650609820182
PCBD1	5092	1.13116226936271e-09	-1.665978692661
WDR41	55255	1.14966415640237e-09	-1.62073995873923
NT5DC3	51559	1.20137954267124e-09	-1.63980311444218
HIST1H3B	8358	1.2209365521497e-09	-3.20618480107483
NRIP3	56675	1.2209365521497e-09	-1.88852797698299
SLC37A3	84255	1.23452160009113e-09	2.25432798813038
LOC100131541	100131541	1.24480592060392e-09	2.07188390227211
		1.25300460866992e-09	-2.78375587689796
PRELID2	153768	1.26888593280951e-09	-2.3715020677619
GINS2	51659	1.26940885096615e-09	-1.95067830166894
RNF167	26001	1.28111911323299e-09	0.953371509044214
CDCA3	83461	1.32410097662048e-09	-1.15962826653515
RAB13	5872	1.37355770511076e-09	-2.39548287940476
SLC39A11	201266	1.39246473972851e-09	-1.33794353134467
CAPN11	11131	1.41581349942919e-09	-1.105277305661
B3GALT4	8705	1.49378135737639e-09	1.04411296562358
SLC1A3	6507	1.52927523784079e-09	-1.56920237468934
NUSAP1	51203	1.57427905132726e-09	-2.19594652683333
KPNA2	3838	1.57427905132726e-09	-1.97053396128345
CHAF1B	8208	1.57774548402456e-09	-1.60222509036621
HDAC2	3066	1.57774548402456e-09	-0.880996475849209
KIAA1551	55196	1.64578870585521e-09	2.35586459494558
GCSHP3///LOC729080///LOC641746///GCSH	100329109///729080///641746///2653	1.88541603619586e-09	-1.33816277267007
AKNA	80709	1.91289211416533e-09	1.14006338994218
PATL2	197135	1.95791688307222e-09	1.80930703638662
CCM2	83605	1.95946070182272e-09	1.22191045064059
ZNF788	388507	2.00470923028069e-09	-1.44361279251814
PRTN3	5657	2.00859009752952e-09	-1.72690567733674
FSCN1	6624	2.07334196854636e-09	-1.52166938328798
STIL	6491	2.18357815292232e-09	-1.69696632443537
ERI2	112479	2.24201472453087e-09	-1.51276345009751
BSG	682	2.29141533179023e-09	-1.28914738652495
RACGAP1	29127	2.52876281759748e-09	-1.24879916500227
LOC100996333///ADGRA3	100996333///166647	2.53110755474756e-09	-2.8340477885034
CCDC26	137196	2.53668706744967e-09	-1.12955521448186
ARSG	22901	2.53668706744967e-09	2.28866524017233
KIAA0922	23240	2.63376233649309e-09	1.15085788092403
LOC728392///NLRP1	728392///22861	2.68118986381319e-09	1.75707584907256
ADAM19	8728	2.72783576031948e-09	2.70379740020295
USP49	25862	2.72783576031948e-09	-0.974204564318593
PACS1	55690	2.7623243435507e-09	1.50794426631859
PLK1	5347	2.7623243435507e-09	-1.91021684922676
TROAP	10024	2.78521514954162e-09	-1.26070622407596
BIRC5	332	2.78521514954162e-09	-1.3871809408254
NREP	9315	2.88389295848642e-09	-3.03882826571656
HIVEP2	3097	3.08541534001132e-09	2.51260306338209
CMBL	134147	3.08541534001132e-09	-2.25167983868027
SH3BP5	9467	3.08541534001132e-09	1.66509810705669
GNA15	2769	3.10963314122069e-09	-3.12382054370749
KIAA0040	9674	3.14473314734292e-09	2.90610416002608
PHF8	23133	3.14473314734292e-09	0.632371798552153
CLEC11A	6320	3.28127561391872e-09	-1.55138339979932
GOLIM4	27333	3.2829468828992e-09	-2.78840746111565
SLC4A1	6521	3.31519550904532e-09	-2.92151844780045
ESCO2	157570	3.42708728930065e-09	-2.18599287817801
ZHX2	22882	3.50721767622857e-09	1.92068477258617
ISG20	3669	3.58924849929014e-09	2.03493521070521
ABHD17A	81926	3.59168258082554e-09	0.910275649798185
PRUNE1	58497	3.60517832595291e-09	1.39801888115079
RAVER2	55225	3.76877851368929e-09	-2.20060073943877
SCARB1	949	3.79386579403486e-09	-1.50875737345465
LRP12	29967	3.83334777471653e-09	-2.01363546063719
KIAA1524	57650	3.90397678644764e-09	-1.87584421784467
ADGRA3	166647	4.06260257710715e-09	-2.24245628728572
ORC6	23594	4.16038866409511e-09	-1.32120043146599
TEX2	55852	4.16986557995529e-09	-1.33064840572109
SNTB2	6645	4.321201967151e-09	1.86022571342403
LTBP1	4052	4.38697267212965e-09	-2.46006516774943
		4.4151940170543e-09	-1.18955305687869
FANCA	2175	4.47605009568234e-09	-1.16576626980499
GPT2	84706	4.51183642439625e-09	-1.17305075020862
CD37	951	4.59308267546123e-09	1.28341066445578
WHSC1	7468	4.60126732224294e-09	-1.1608345180737
FABP5P3///FABP5	220832///2171	4.60126732224294e-09	-2.18555297079252
		4.85559749220376e-09	1.23858599838889
ZNF618	114991	4.98953021878083e-09	-0.910840606757372
TECPR1	25851	5.14126507645537e-09	1.00540277742857
EZH2	2146	5.38073324101615e-09	-1.74279002396599
MIR221	407006	5.39385947744635e-09	-2.52216713421089
STARD3	10948	5.5890639772868e-09	0.690669309206347
LRP8	7804	5.68154858413376e-09	-1.51025738251474
CCDC88A	55704	5.72395142895667e-09	-2.74652024237415
CCNE1	898	5.75655010170154e-09	-1.57367175200454
RBSN	64145	5.84984505967286e-09	0.805482181081631
HLA-H///HLA-F///HLA-E///HLA-B///HLA-A///HLA-A	3136///3134///3133///3106///3105///3105	6.06971955635026e-09	1.05710653972562
VOPP1	81552	6.2359451557745e-09	1.19252994490476
CD34	947	6.28893022773747e-09	-3.78719466711451
GUSB	2990	6.31243451888612e-09	-1.34113647206916
PPP1R2	5504	6.31243451888612e-09	1.05858278318027
EZH1	2145	6.50592172312299e-09	1.09983766057823
ECE1	1889	6.51578137151482e-09	2.28106991356236
EIF5AL1///EIF5A	143244///1984	6.78578035362916e-09	-1.35431553607483
STIP1	10963	6.78906087197576e-09	-1.09298259005669
TWSG1	57045	6.97472077592327e-09	-1.79006564266667
PRG2	5553	7.24719748719132e-09	-1.89638459668708
TM7SF3	51768	7.42971466105547e-09	-1.41015124526758
GCSAML	148823	7.50828763813107e-09	-2.80025297073696
KIF24	347240	7.50828763813107e-09	-0.806799482868481
PP13439	100128046	7.64743184036835e-09	-1.82921319065079
LRRC59	55379	7.72119430686387e-09	-0.874497310604307
FADS1	3992	7.75103968068823e-09	-2.78004630070522
LINC00324	284029	8.06393133088787e-09	1.68114106379365
		8.16904036918418e-09	1.43859081495125
POLE2	5427	8.16904036918418e-09	-1.71866472552948
PTH2R	5746	8.22330378686119e-09	-1.73202670646939
APBB3	10307	8.24162329972815e-09	0.851075488017005
PTTG1	9232	8.24162329972815e-09	-1.27859597014853
ATP13A3	79572	8.41306405859837e-09	-1.18665510316213
ZNF24	7572	8.6118865456295e-09	0.838763763081634
MAFG	4097	8.6118865456295e-09	-1.50112516734921
		8.74838037649019e-09	-2.28704996764853
TPM4	7171	9.39615202729487e-09	-1.27049554186395
ZBTB18	10472	9.41376536410392e-09	1.62807635476757
FABP5P3///FABP5	220832///2171	9.70244377096062e-09	-2.11857596850227
GATA2	2624	9.83463335927494e-09	-2.0773805972517
PLAU	5328	1.01353134492981e-08	-1.47277311938775
RXFP1	59350	1.05404246377491e-08	-2.17158276776984
CERS4	79603	1.05890681330567e-08	1.11870283652267
ITGA9	3680	1.06653433978972e-08	-2.63793711892744
CEP55	55165	1.07911576035144e-08	-1.60427463340023
TTC33	23548	1.08266752659763e-08	1.02107086177891
ATP1B1	481	1.14091891530708e-08	-2.71843911241951
MEIS1	4211	1.14809998288767e-08	-3.84381492650227
TRPC2	7221	1.16832508594211e-08	-1.77405254803968
TOM1L1	10040	1.16832508594211e-08	-2.2119411952551
KDELC1	79070	1.18477574459615e-08	-2.13957726708617
SCML4	256380	1.22421361649686e-08	2.14020081445692
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	1.2408387592849e-08	-2.12569820585374
EIF5AL1///EIF5A	143244///1984	1.2408387592849e-08	-1.64859779235714
		1.25364920213327e-08	0.970074139055555
SELENBP1	8991	1.27450295633884e-08	-1.77047268059864
DHFR	1719	1.28419196447012e-08	-1.42818901772336
PRKCZ	5590	1.33556373920022e-08	1.19389072036735
GABBR1	2550	1.36135340926295e-08	1.77997027335487
TNRC6C	57690	1.38819150495603e-08	1.64153678674149
H2AFY	9555	1.43010464068041e-08	-1.44378517851701
MAP7	9053	1.44190626416735e-08	-2.07380500496372
MPDU1	9526	1.55698879734116e-08	-1.42563371304422
RCN1	5954	1.55841600419151e-08	-2.04870853658617
GON4L	54856	1.58058370266449e-08	0.859314804987527
TCP1	6950	1.58270752625032e-08	-1.25233957569842
ANKZF1	55139	1.60513849116867e-08	0.974920242734691
TUSC2	11334	1.60903192906987e-08	0.744456330701814
PFAS	5198	1.6315002539318e-08	-1.03402248146145
RASSF3	283349	1.63492888863814e-08	2.32466825160204
TFR2	7036	1.65871279682858e-08	-1.29959887229705
LMNA	4000	1.65871279682858e-08	-1.57332972708277
CNNM3	26505	1.68338598075207e-08	0.867533643808389
ISCU	23479	1.68774513180245e-08	0.975086078721084
TTC22	55001	1.69459965641724e-08	1.17530211699773
SLAIN1	122060	1.70730882361187e-08	2.39562579207483
ZNF394	84124	1.71665300114804e-08	1.08486049841383
PLEKHA5	54477	1.71786234684894e-08	-2.12466497021769
DMWD	1762	1.71786234684894e-08	0.83918399446712
MYO18A///TIAF1	399687///9220	1.71786234684894e-08	-0.762768143490931
MECP2	4204	1.71786234684894e-08	1.02691718263832
NLRC5	84166	1.75256671621911e-08	1.49382376401814
MIA3	375056	1.75402997092565e-08	0.748083708207482
TBC1D10A	83874	1.77585517105698e-08	1.24669711735374
KCTD3	51133	1.78016097564041e-08	-2.54505579981406
VAMP2	6844	1.8122789406877e-08	1.11006746076984
SEPP1	6414	1.81832434627352e-08	-3.31207688986281
SPTA1	6708	1.8354397691715e-08	-2.25458899526531
TRMO	51531	1.8354397691715e-08	1.08516094915419
TCP11L2	255394	1.8398619116482e-08	2.09064514736621
NET1	10276	1.88316272486128e-08	-2.20809744878911
HSP90AA1	3320	1.9033065652925e-08	-1.16422577768481
DPP3	10072	1.90784430855489e-08	-1.30370475553515
STIM2	57620	1.90784430855489e-08	1.1945423348424
BET1L	51272	1.91777603918364e-08	0.920703952558955
TOM1L2	146691	1.92731822361758e-08	0.846498451752836
HPGDS	27306	1.93432838179213e-08	-2.94246814301927
GFI1	2672	1.98753118679782e-08	-1.75293543885828
YPEL3	83719	2.05883362861678e-08	1.61185730106689
C10orf11	83938	2.07673693095184e-08	-2.51896990687755
TIRAP	114609	2.09296509805708e-08	1.32100022000453
ZFAND2A	90637	2.13610034707881e-08	0.955378042683671
LUZP1	7798	2.18122462292709e-08	-1.5655106869229
SIN3B	23309	2.20841751849445e-08	0.716481592156462
NUCB2	4925	2.25139608365746e-08	-2.06134543418594
PRR11	55771	2.27921513335784e-08	-2.11328645383447
DNAH14	127602	2.31374414209935e-08	-1.35947658248299
TTLL12	23170	2.37152851316569e-08	-0.691007213181408
METTL4	64863	2.3912708877479e-08	1.26698293452267
KNL1	57082	2.50318455106966e-08	-1.97556314109411
DEDD2	162989	2.52717111136987e-08	1.25681933155328
FBXO43	286151	2.55695373369695e-08	-0.867153950824264
SGPP1	81537	2.55965777999131e-08	1.24103639651474
